,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,Team
0,Ryder Garnsey,M,6,10,6,16,4.5,0,0,0,38,26,26.3,38.5,12,8,2,0,0,,redwoods
1,Sergio Perkovic,M,6,9,0,15,0.0,1,0,0,35,25,25.7,36.0,5,8,1,0,0,,redwoods
2,Myles Jones,M,6,6,5,13,1.5,3,0,0,30,18,20.0,33.3,7,10,1,0,0,,redwoods
3,Matt Kavanagh,A,6,7,4,11,0.0,1,0,0,24,16,29.2,43.8,6,8,2,0,0,,redwoods
4,Clarke Petterson,F,6,5,4,9,0.5,3,0,0,22,13,22.7,38.5,9,2,1,0,0,,redwoods
5,Joe Walters,"M,A",6,3,5,9,1.0,1,0,0,13,8,23.1,37.5,1,7,0,0,0,,redwoods
6,Brent Adams,"M,D",6,5,1,6,0.0,0,0,0,30,17,16.7,29.4,12,7,2,0,0,,redwoods
7,Brendan Gleason,A,6,3,1,4,0.0,0,0,0,10,4,30.0,75.0,3,3,0,0,0,,redwoods
8,Kyle Harrison,M,6,2,1,4,0.0,0,0,0,9,2,22.2,100.0,2,2,0,0,0,,redwoods
9,Jack Near,M,6,1,2,3,0.5,0,0,0,6,4,16.7,25.0,11,2,6,0,0,,redwoods
10,Patrick Harbeson,M,6,1,1,2,1.5,0,0,0,6,5,16.7,20.0,16,3,11,0,0,,redwoods
11,Greg Puskuldjian,F,6,0,1,1,0.0,0,0,0,1,1,0.0,0.0,8,1,2,62,22,35.5,redwoods
12,Tyler Dunn,M,5,0,0,0,0.0,0,0,0,1,0,0.0,,2,0,3,0,0,,redwoods
13,Peyton Smith,F,6,0,0,0,0.0,0,0,0,0,0,,,9,1,0,66,25,37.9,redwoods
14,Gunnar Waldt,G,6,0,0,0,0.0,0,0,0,0,0,,,0,0,0,0,0,,redwoods
15,Hugh Crance,LSM,6,0,0,0,0.0,0,0,0,0,0,,,4,3,4,0,0,,redwoods
16,Garrett Epple,D,6,0,0,0,2.0,0,0,0,0,0,,,17,6,9,0,0,,redwoods
17,Finn Sullivan,D,6,0,0,0,1.0,0,0,0,1,0,0.0,,7,0,4,0,0,,redwoods
18,Edwin Glazener,D,6,0,0,0,1.5,0,0,0,3,1,0.0,0.0,9,0,5,0,0,,redwoods
19,Tim Troutner,G,6,0,0,0,0.0,0,0,0,4,1,0.0,0.0,12,2,3,0,0,,redwoods
20,John Sexton,D,6,0,0,0,0.5,0,0,0,4,2,0.0,0.0,11,1,9,0,0,,redwoods
21,Nick Ossello,"M,D",6,0,0,0,1.5,0,0,0,5,2,0.0,0.0,4,0,5,2,0,0.0,redwoods
22,Totals,,131,52,31,93,16.0,9,0,0,242,145,21.5,35.9,167,74,70,130,47,36.2,redwoods
